"GEO","SEX","CAS","LMS","COC","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"AT","T","POP","SIN","TOTAL","Y_LT15","2011","1227690","",""
"AT","T","POP","TOTAL","TOTAL","TOTAL","2011","8401940","",""
"AT","T","POP","TOTAL","TOTAL","Y15-29","2011","1569276","",""
"AT","T","POP","TOTAL","TOTAL","Y30-49","2011","2488754","",""
"AT","T","POP","TOTAL","TOTAL","Y50-64","2011","1624107","",""
"AT","T","POP","TOTAL","TOTAL","Y65-84","2011","1293479","",""
"AT","T","POP","TOTAL","TOTAL","Y_GE85","2011","198634","",""
"AT","T","POP","TOTAL","TOTAL","Y_LT15","2011","1227690","",""
"AT","T","POP","UNK","TOTAL","TOTAL","2011","0","",""
"AT","T","POP","UNK","TOTAL","Y15-29","2011","0","",""
"AT","T","POP","UNK","TOTAL","Y30-49","2011","0","",""
"AT","T","POP","UNK","TOTAL","Y50-64","2011","0","",""
"AT","T","POP","UNK","TOTAL","Y65-84","2011","0","",""
"AT","T","POP","UNK","TOTAL","Y_GE85","2011","0","",""
"AT","T","POP","UNK","TOTAL","Y_LT15","2011","0","",""
"AT","T","POP","WID","TOTAL","TOTAL","2011","573070","d","LMS: Including persons whose same-sex registered partnership ended with the death of a partner."
"AT","T","POP","WID","TOTAL","Y15-29","2011","1172","d","LMS: Including persons whose same-sex registered partnership ended with the death of a partner."
"AT","T","POP","WID","TOTAL","Y30-49","2011","18282","d","LMS: Including persons whose same-sex registered partnership ended with the death of a partner."
"AT","T","POP","WID","TOTAL","Y50-64","2011","85007","d","LMS: Including persons whose same-sex registered partnership ended with the death of a partner."
"AT","T","POP","WID","TOTAL","Y65-84","2011","335165","d","LMS: Including persons whose same-sex registered partnership ended with the death of a partner."
"AT","T","POP","WID","TOTAL","Y_GE85","2011","133444","d","LMS: Including persons whose same-sex registered partnership ended with the death of a partner."
"AT","T","POP","WID","TOTAL","Y_LT15","2011","0","d","LMS: Including persons whose same-sex registered partnership ended with the death of a partner."
"BE","T","POP","DISREP","TOTAL","TOTAL","2011","30084","",""
"BE","T","POP","DISREP","TOTAL","Y15-29","2011","6522","",""
"BE","T","POP","DISREP","TOTAL","Y30-49","2011","19231","",""
"BE","T","POP","DISREP","TOTAL","Y50-64","2011","3548","",""
"BE","T","POP","DISREP","TOTAL","Y65-84","2011","728","",""
"BE","T","POP","DISREP","TOTAL","Y_GE85","2011","55","",""
"BE","T","POP","DISREP","TOTAL","Y_LT15","2011","0","",""
"BE","T","POP","DIV","TOTAL","TOTAL","2011","857932","",""
"BE","T","POP","DIV","TOTAL","Y15-29","2011","13821","",""
"BE","T","POP","DIV","TOTAL","Y30-49","2011","358823","",""
"BE","T","POP","DIV","TOTAL","Y50-64","2011","352423","",""
"BE","T","POP","DIV","TOTAL","Y65-84","2011","125617","",""
"BE","T","POP","DIV","TOTAL","Y_GE85","2011","7248","",""
"BE","T","POP","DIV","TOTAL","Y_LT15","2011","0","",""
"BE","T","POP","DTHREP","TOTAL","TOTAL","2011","2069","",""
"BE","T","POP","DTHREP","TOTAL","Y15-29","2011","37","",""
"BE","T","POP","DTHREP","TOTAL","Y30-49","2011","437","",""
"BE","T","POP","DTHREP","TOTAL","Y50-64","2011","602","",""
"BE","T","POP","DTHREP","TOTAL","Y65-84","2011","836","",""
"BE","T","POP","DTHREP","TOTAL","Y_GE85","2011","157","",""
"BE","T","POP","DTHREP","TOTAL","Y_LT15","2011","0","",""
"BE","T","POP","MAR","TOTAL","TOTAL","2011","4425722","",""
"BE","T","POP","MAR","TOTAL","Y15-29","2011","215829","",""
"BE","T","POP","MAR","TOTAL","Y30-49","2011","1688576","",""
"BE","T","POP","MAR","TOTAL","Y50-64","2011","1460162","",""
"BE","T","POP","MAR","TOTAL","Y65-84","2011","1001699","",""
"BE","T","POP","MAR","TOTAL","Y_GE85","2011","59456","",""
"BE","T","POP","MAR","TOTAL","Y_LT15","2011","0","",""
"BE","T","POP","REP","TOTAL","TOTAL","2011","268438","",""
"BE","T","POP","REP","TOTAL","Y15-29","2011","74133","",""
"BE","T","POP","REP","TOTAL","Y30-49","2011","154296","",""
"BE","T","POP","REP","TOTAL","Y50-64","2011","30729","",""
"BE","T","POP","REP","TOTAL","Y65-84","2011","8778","",""
"BE","T","POP","REP","TOTAL","Y_GE85","2011","502","",""
"BE","T","POP","REP","TOTAL","Y_LT15","2011","0","",""
"BE","T","POP","SIN","TOTAL","TOTAL","2011","4604154","",""
"BE","T","POP","SIN","TOTAL","Y15-29","2011","1677112","",""
"BE","T","POP","SIN","TOTAL","Y30-49","2011","809113","",""
"BE","T","POP","SIN","TOTAL","Y50-64","2011","177930","",""
"BE","T","POP","SIN","TOTAL","Y65-84","2011","82738","",""
"BE","T","POP","SIN","TOTAL","Y_GE85","2011","15741","",""
"BE","T","POP","SIN","TOTAL","Y_LT15","2011","1841520","",""
"BE","T","POP","TOTAL","TOTAL","TOTAL","2011","11000638","",""
"BE","T","POP","TOTAL","TOTAL","Y15-29","2011","2033484","",""
"BE","T","POP","TOTAL","TOTAL","Y30-49","2011","3082202","",""
"BE","T","POP","TOTAL","TOTAL","Y50-64","2011","2134475","",""
"BE","T","POP","TOTAL","TOTAL","Y65-84","2011","1634955","",""
"BE","T","POP","TOTAL","TOTAL","Y_GE85","2011","248225","",""
"BE","T","POP","TOTAL","TOTAL","Y_LT15","2011","1867297","",""
"BE","T","POP","UNK","TOTAL","TOTAL","2011","111349","",""
"BE","T","POP","UNK","TOTAL","Y15-29","2011","45645","",""
"BE","T","POP","UNK","TOTAL","Y30-49","2011","30546","",""
"BE","T","POP","UNK","TOTAL","Y50-64","2011","7179","",""
"BE","T","POP","UNK","TOTAL","Y65-84","2011","2100","",""
"BE","T","POP","UNK","TOTAL","Y_GE85","2011","102","",""
"BE","T","POP","UNK","TOTAL","Y_LT15","2011","25777","",""
"BE","T","POP","WID","TOTAL","TOTAL","2011","700890","",""
"BE","T","POP","WID","TOTAL","Y15-29","2011","385","",""
"BE","T","POP","WID","TOTAL","Y30-49","2011","21180","",""
"BE","T","POP","WID","TOTAL","Y50-64","2011","101902","",""
"BE","T","POP","WID","TOTAL","Y65-84","2011","412459","",""
"BE","T","POP","WID","TOTAL","Y_GE85","2011","164964","",""
"BE","T","POP","WID","TOTAL","Y_LT15","2011","0","",""
"BG","T","POP","DISREP","TOTAL","TOTAL","2011","0","",""
"BG","T","POP","DISREP","TOTAL","Y15-29","2011","0","",""
"BG","T","POP","DISREP","TOTAL","Y30-49","2011","0","",""
"BG","T","POP","DISREP","TOTAL","Y50-64","2011","0","",""
"BG","T","POP","DISREP","TOTAL","Y65-84","2011","0","",""
"BG","T","POP","DISREP","TOTAL","Y_GE85","2011","0","",""
"BG","T","POP","DISREP","TOTAL","Y_LT15","2011","0","",""
"BG","T","POP","DIV","TOTAL","TOTAL","2011","428140","",""
"BG","T","POP","DIV","TOTAL","Y15-29","2011","8131","",""
"BG","T","POP","DIV","TOTAL","Y30-49","2011","187848","",""
"BG","T","POP","DIV","TOTAL","Y50-64","2011","171969","",""
"BG","T","POP","DIV","TOTAL","Y65-84","2011","58147","",""
"BG","T","POP","DIV","TOTAL","Y_GE85","2011","2045","",""
"BG","T","POP","DIV","TOTAL","Y_LT15","2011","0","",""
"BG","T","POP","DTHREP","TOTAL","TOTAL","2011","0","",""
"BG","T","POP","DTHREP","TOTAL","Y15-29","2011","0","",""
"BG","T","POP","DTHREP","TOTAL","Y30-49","2011","0","",""
